Index,Review,Label,Manual Advert Label
0,my wife and i have had 4 different sushi rolls here and all were well made and delicious. the service here is great! The decor is very rustic alaska which does not give it an asian feel at all but they more than make up for it.,Advertisement,Legitimate
1,"It's airport food but the prices aren't horrible. Not a ton of options as this is the only restaurant in this small airport. Service was promt, the line was short, and the staff was kind.",Legitimate,Legitimate
2,"Home Depot,  what can you say",Legitimate,Legitimate
3,Great service from the ticket person to all helping get my order!,Advertisement,Legitimate
4,Great selection and service,Advertisement,Legitimate
5,"THIS PLACE IS GREAT, NICE AND KNOWLEDGEABLE STAFF",Advertisement,Legitimate
6,"Old time bar, you can smoke in Moochers, has restroom",Legitimate,Legitimate
7,"If you go during a workday there will be less people which is great if you like the food and some of the popular rides, I suggest trying to get some cheese curds",Advertisement,Legitimate
8,Assume,Insufficient Context,Legitimate
9,Awesome,Advertisement,Legitimate
10,A great place to get gas,Advertisement,Legitimate
11,Amazing service and selection,Advertisement,Advertisement
12,Fantastic place to learn more about the arts!,Advertisement,Legitimate
13,"Online hours said they were open, but they were not.",Legitimate,Legitimate
14,"I visited this place with a friend. The food was decent, the atmosphere on the off hours is nice, however the service was extremely slow. On the weekends this place turns to into a party more than a buisness. I would stay away from this place if you don't like the full party experiance and are willing to take that kind of risk.",Legitimate,Legitimate
15,Was good :),Insufficient Context,Legitimate
16,"The service is friendly and the food is good, but very expensive for what you get. I've gone at least a dozen times and while I enjoy my sandwich, you'll get better quality coffee from an actual espresso shop. My last visit was by far the most disappointing, where my order was messed up and my Italian wedding soup was 95% soft gnocchi.",Legitimate,Legitimate
17,It's got a pokestop,Insufficient Context,Legitimate
18,"Amazing pizza amazing price and amazingly fast. $5 for a 12"" medium pizza.",Advertisement,Advertisement
19,Variety,Insufficient Context,Legitimate
20,"helpful staff, kinda hard to find what 8 was lookin for otherwise would have been 5*",Legitimate,Legitimate
21,"I took a chance on a used Xbox One Charge and Play kit, only to discover that the battery would not take a charge.  I took it back and Mike made it right with a new kit, no hassle or second guessing.  10/10 will shop again.",Legitimate,Legitimate
22,Awesome eats😋,Advertisement,Legitimate
23,The sights of the glacier is amazing!,Advertisement,Advertisement
24,Outstanding food and drinks,Insufficient Context,Legitimate
25,Need more stores,Insufficient Context,Legitimate
26,"Confused as to shutting production due to water, it is hot anyway.",Legitimate,Legitimate
27,"Loved this place, the owner was great.",Advertisement,Advertisement
28,Great service awesome food to whet your appetite,Advertisement,Legitimate
29,Great group of people very knowledgeable about what they have! Ask and they will lead one in the proper direction with a very large supply and viritaty to fit almost every need for a successful growth,Advertisement,Legitimate
30,Right in the middle of downtown. Great for that one night out!,Advertisement,Legitimate
31,Got a decent cut and fade here a couple weeks ago.  Walked in and I was the only customer.  Gave 4 stars instead of 5 because its cash only and the ATM gouges you for using it.  So... bring cash.,Legitimate,Legitimate
32,Friendly staff usually in n out quick,Legitimate,Legitimate
33,Nice accommodations,Insufficient Context,Legitimate
34,Fast service,Insufficient Context,Legitimate
35,Nice shopping spot in the old frontier.,Legitimate,Legitimate
