Index,Review,Manual Presence Label
0,"Always good food, good service.",Visited
1,"Good handling of COVID situation with tables scooted so fewer have to be closed, food still solid and good with allergies and intolerances, and efficient take out and delivery support make for a good pick if you're in the mood for that certain comfort of a burger chain in Anchorage.",Visited
2,"The lady who helped me today is very friendly. I was a little be nervous because I am not sure what kind of shipment method should I use and my entire requests are quite complicated, staff in other post offices in town near me were usually out of patient and didn't want to explain too much to their customer, but here is totally different! She explained everything to me in details and with patience, moreover the entire process was smooth and efficient. I am glad I choose to drive a little bit farther but finish what I need without being stressful.",Rumor
3,Tasty food we enjoyed it.,Visited
4,Tons of antlers and Tom is so friendly. Glad we found the place.,Rumor
5,Good people,Rumor
6,I had the Donna's Burger and fries it was delicious. I'm definitely going to be eating their burgers over McDonald's anytime.,Rumor
7,Good food and drinks!,Visited
8,Fast service. They will get you in and out asap.,Visited
9,Excellent,Rumor
10,The chance to get back with the traveller and my credit card from well Fargo Bank NA member FDIC and1first national Bank NA in,Rumor
11,Loud on Sat pm in bar but good service and food,Visited
12,Amazing service ! Great job on my nails,Visited
13,Beautiful hotel in Denali!,Rumor
14,Nice food . Great employees.,Visited
15,"Best place ever, not only do they do veteran discounts, but they have amazing customer service.",Visited
16,Awesome,Rumor
17,It's nice,Rumor
18,Still absolutely love this place. One of my favorite spots for lunch.,Rumor
19,"Huge selection of food and household goods, like all Fred Meyer's",Visited
20,We love using enterprise when we need a clean nice vehicle for taking our guest out Aurora viewing. We love both locations in Fairbanks wehter you use south Cushman or airport both have a fast friendly safe service. The cars are always clean and ready to go. the staff is always friendly and good about getting you out of the office quick.,Visited
21,Tasted even better when the owner of the business meeting said he was paying😂,Rumor
22,Decent food.,Visited
23,Great food and drinks.,Visited
24,Giant burritos yum!!,Rumor
25,Love this place. Been spending quite a bit of time there recently. :),Rumor
26,GOOD,Rumor
27,"(Translated by Google) Parking near the building information

(Original)
Aparcamiento muy cerca del edificio de información",Rumor
28,Super creepy in general... although the fudge is good,Rumor
29,"Flying pig was delicious! Bacon, ham and sausage with egg on a large cruisant. $7.50",Rumor
30,"Ronnie in the Tikhatnu store took my son's hairtastrophe and made him look great. Too bad I'm only here a short while. Ronnie, you are the man. Thank you boss.",Rumor
31,"Good food, albeit a bit too spicy for my wife though.  And my own salmon had to be sent back as it was so rare a veterinarian could have resuscitated it.   Apps were ok. But fish other than smoked salmon just dont work well. Bathroom is one unisex hole hat to wait forever in line.",Visited
32,"It's a grocery store, nothing exciting",Rumor
33,Food was amazing. Waited an hour for a wrap though.,Visited
34,"Great deals. Good staff. Haven't got anything at the growler bar yet, but they look like they have a great selection.",Rumor
35,"Love this Veterinary Clinic. Our animals have received great care. Routine care, emergency porcupine quill removal, surgeries, etc - Always great care. Highly recommend!",Rumor
36,"Absolutely love it, kind and Courteous staff with knowledgeable information over years of service.",Visited
37,"So FUN to wander around in! I find what I need, and enjoy looking at their unique items also. Service is great!",Visited
38,"Extremely busy place during local events. Place seems to be understaffed, wiat time at front desk is too long",Rumor
39,Lost my money took a week to get back when someone finally answered my call,Rumor
40,Great sweets. Friendly staff.,Rumor
41,It serves its purpose…,Rumor
42,A FUN place to bring young kids...the tour guide was a joke and a ripe off....but I would recommend taking out of town family to visit....they have an AWESOME  aquarium....and touch tanks....and if you come during the fish run it is FUN to watch....,Rumor
43,Good place for dinner and drinks.,Rumor
44,Please make this place good again!!,Rumor
45,Always Windy,Rumor
46,Remodeled and is bigger now. Has a part in the store where you can buy cookies and cake maybe.,Rumor
47,"(Translated by Google) Great place! Fav mexi spot!

(Original)
Great place! Fav mexi spot!",Rumor
48,We went here to just have drinks and wait for our husbands to come back from a fishing trip. The host was kinda rude and didn't seem happy that we were there another lady brought us water and never said a word or smiled. We were starting to regret our pick for our wait. Luckily our waitress Jennie made up for the horrible intro to the restaurant. Jennie came to our table with a warm smile and a very pleasant and helpful attitude 😊. We each had a couple of drinks and my niece had a Shirley Temple. The food sounded amazing but we didn't try any.,Visited
49,"Its taco bell, who doesn't know what to expect",Rumor
50,Great place for automotive parts. They had the part I wanted.,Rumor
51,"Great selection, speedy service staff and checkers",Visited
52,Great stop,Rumor
53,Quick food. Great service. One of my personal favs,Visited
54,"They could turn the heat on in their building, my feet were too cold and got colder when I went inside. Bums asking for money and security doing NOTHING ABOUT IT",Rumor
55,Went for breakfast. Nice selection of dishes. Service was prompt and staff friendly. Portions reasonable for price. Would go back again.,Visited
56,"A+ dive, fantastic burgers.",Rumor
57,It's not the Bentley Mall...or any mall at all... but Sentry usually has what I need to finish projects without having to drive to town.,Rumor
58,Nice variety for a descent price.,Rumor
59,Nice zoo. Fun place to visit,Rumor
60,"Always helpful and nice, i left my change in the machine and it was still there lil bit later",Rumor
