,0
0,my wife and i have had 4 different sushi rolls here and all were well made and delicious. the service here is great! The decor is very rustic alaska which does not give it an asian feel at all but they more than make up for it.
1,"It's airport food but the prices aren't horrible. Not a ton of options as this is the only restaurant in this small airport. Service was promt, the line was short, and the staff was kind."
2,"Home Depot,  what can you say"
3,Great service from the ticket person to all helping get my order!
4,Great selection and service
5,"THIS PLACE IS GREAT, NICE AND KNOWLEDGEABLE STAFF"
6,"Old time bar, you can smoke in Moochers, has restroom"
7,"If you go during a workday there will be less people which is great if you like the food and some of the popular rides, I suggest trying to get some cheese curds"
8,Assume
9,Awesome
10,A great place to get gas
11,Amazing service and selection
12,Fantastic place to learn more about the arts!
13,"Online hours said they were open, but they were not."
14,"I visited this place with a friend. The food was decent, the atmosphere on the off hours is nice, however the service was extremely slow. On the weekends this place turns to into a party more than a buisness. I would stay away from this place if you don't like the full party experiance and are willing to take that kind of risk."
15,Was good :)
16,"The service is friendly and the food is good, but very expensive for what you get. I've gone at least a dozen times and while I enjoy my sandwich, you'll get better quality coffee from an actual espresso shop. My last visit was by far the most disappointing, where my order was messed up and my Italian wedding soup was 95% soft gnocchi."
17,It's got a pokestop
18,"Amazing pizza amazing price and amazingly fast. $5 for a 12"" medium pizza."
19,Variety
20,"helpful staff, kinda hard to find what 8 was lookin for otherwise would have been 5*"
21,"I took a chance on a used Xbox One Charge and Play kit, only to discover that the battery would not take a charge.  I took it back and Mike made it right with a new kit, no hassle or second guessing.  10/10 will shop again."
22,Awesome eats😋
23,The sights of the glacier is amazing!
24,Outstanding food and drinks
25,Need more stores
26,"Confused as to shutting production due to water, it is hot anyway."
27,"Loved this place, the owner was great."
28,Great service awesome food to whet your appetite
29,Great group of people very knowledgeable about what they have! Ask and they will lead one in the proper direction with a very large supply and viritaty to fit almost every need for a successful growth
30,Right in the middle of downtown. Great for that one night out!
31,Got a decent cut and fade here a couple weeks ago.  Walked in and I was the only customer.  Gave 4 stars instead of 5 because its cash only and the ATM gouges you for using it.  So... bring cash.
32,Friendly staff usually in n out quick
33,Nice accommodations
34,Fast service
35,Nice shopping spot in the old frontier.
36,I like the new remodel and the people were nice.
37,Meet up with friends.
38,Literally the best oriental restaurant I've ever been to in my life id recommend this joint to any foodie around! 100/100
39,Love there pizza
40,Best breakfast in town so far and we have been to all the local hotspots. Well worth the time!
41,I like this tire shop and appointments are nice no waiting ! Thank you Lyle.
42,"I like the shop, i like the variety. And the customer service was great as well."
43,Dude i love tacosss
44,Very helpful and knowledgeable.  Lots of options and display models.  Highly recommend!
45,"I have never been so impressed with an automotive service company as I was with these people. Not only did they provide exactly what they said they would, they followed it up with a phone, and email to let me know what was going on, and that they were other issues that needed to be addressed and they prioritized what should be done first. They were great and absolutely great to talk with, I will be visiting them again."
46,Bomb every time! Get the million dollar mac and cheese!! Don't forgrt the Mobile Bytes app to collect points for every visit!!
47,always great service and delicious drinks and food
48,"Decent food, decent prices"
49,They have a couple of meal deals that are a good bargain for your buck right now.
50,"They have wonderful, hardworking staff that do their utmost to take care of your pet."
51,We went to Latte Dah every morning of our trip to Valdez. Excellent shop!
52,Great advice for cleaning my cream colored leather jacket! Thanks guys for the help!
53,They have Chick O' sticks. ❤️
