,0
0,"Always good, consistent cut."
1,Best Thai restaurant in Alaska. Owned and operated by family that I have known since the early 80s. Also right next door you can get Frozen yogurt.
2,"Friendly staff, lots of outdoor gear to shop"
3,Great place to eat
4,Just as good as any other subway.
5,"Good service, My complaint is that once a while they will mix your order with something else, but we are all human"
6,"Save on gas. Multiple gas pumps.
Good wine selection w great sales n prices. Friendly staff n great store hours"
7,"This was a very horrible car wash experience. I was disappointed I even went to a drive through wash. I bought the silver wash 19.00. The truck behind me also had a horrible wash. I witnessed one employee mocking behavior not prespraying around the truck instead pretend working in a mocking way. My mirror was almost pulled of drivers side and two long scratch gouges were left on paint area of mirror.
When I spoke to the other employee about my truck still being dirty the scratched and that I witnessed the mock spraying ( he was award as he was there also) no one spoke to me I had no option to say a word also they had two of us trucks so close together I couldn’t even blow dry truck.
This is a new car wash at the old duck pond location I wish they had rebuilt the do it your self  at wash stalls as I felt disrespected and ripped off.. yes I was offered to go through again ... no thank you I was afraid of more scratches.
Horrible car wash horrible!"
8,A few good deals and convenient.
9,"Incredibly amazing Rock Climbing gym that has it all! The owner, Eamon, is such an awesome guy! My kids absolutely love coming to climb here, they offer recreational AND competitive teams as well! A definite must go!"
10,"The staff are professional, friendly, and  thorough. I tried several dental offices before finding Anchorage Dental Arts. I’ve been using them for many years now."
11,"We didn't try the sourdough pancakes, but the sites were nicely secluded, something we prefer."
12,"Good food. Good coffee. Friendly service!
In the heart of Palmer."
13,I go almost every year on labor day. It's so beautiful.
14,"Awesome place to catch some sun, fire up the BBQ, swim or put around in your kayak or canoe. Be warned, it can get crowded on those beautiful days..."
15,Staff is always helpful and the store is well kept and clean!
16,"Great coffee, tea and baked goods. Plenty of gluten free options."
17,Pretty good fare. Friendly staff and overall good menu. It is a good greasy spoon but something intangible was missing.
18,Good selection of products but not as good a selectiob as local grocers
19,Service Great food great best food all year
20,Best place in Alaska for recreational activities
21,Love their food
22,Good service and people
23,Good quick service.
24,Girl right they could have smarter counter  people sometimes they have the parts and don't know how to find it
25,"They were fast, friendly, and efficient. If I had been smart enough to take my SUV straight to them when issues started I would have saved myself thousands of dollars and weeks of my time. Lesson hard learned, they have a customer for life."
26,Had 3 alignments and they have done a great job each time
27,"Amazing food, best curry!! Nice customer service and my personal favorite place to eat. :)"
28,"Good little saloon, love the entry doors, was very crowded when I was there, but 3 cruise ships were pulled into the harbor though."
29,"Excellent service for all day breakfasts. Quick, clean and good food."
30,Always great for the whole family and there is a place to sit and enjoy your icecream or food
31,Brand new. Easy. Fast airport.
32,Excellent customer service. Employees have excellent knowledge of all sporting goods
33,"Beautiful! Caught a 60lb halibut on my first try. Homer, Alaska is a great place to visit."
34,Was good food great service.
35,Excellent
36,Would have liked hiking more but very cold and windy. Trails snow covered still.
37,"Great burgers, my favorite is the Burnin Love"
38,AWESOME!!! Love the food and people. If you do have a issue let people know they a quick and good to fix what ever you need. A+ In so many ways.
39,"Great place for lunch, dinner, or a drink with friends
Excellent food, great service, outside dinning when weather is good. Also music on weekends during the summer."
40,Was quick and easy and the employee was very helpful and kind.
41,A regular home depot
42,Boat broke and we saw 3 of the 23 glaciers. They dropped us off about 1/2 mile from our car. Not a fan.
43,Thank’s Peter for the fat and plus bicycle. It is a new experience in the winter. I did not know that bike in winter it is perfect! The bike is saved in excellent conditions!
44,Newly remodeled
45,Great coffee. Nice atmosphere. Seating can be difficult to find at times.
46,"I have usually enjoyed my experiences here. One time I had a not so friendly encounter with a not so friendly manager who said their burger machine was broken and we should leave because it would take 2 hours for burgers to come out? Everyone else was getting their food, so we decided to order. We got our burgers right on time, but we felt pretty discriminated against. Every other time I have been there, I have really enjoyed it however, and will definitely go back next time I find myself down in Anchorage"
47,Friendly fast clean and good food.
48,Beautiful
49,"Friendly service, and awesome donuts!! Went great with the coffee thank you!"
50,It's a okay place
51,Ok food but not good. Clean efficient service.
52,"I went there today to see if this place could help me out.  They were quite busy, so I preoccupied myself with browsing the store since this was my first visit.  After 20 minutes and the young man behind the counter still didn't acknowledge me in the store.  I expected more from the store since, I read some great reviews.

I am new to the area and will take my business to other local gun stores.  I would advise everyone to try this store last."
53,"Its Costco, bulk products, hot dogs and pizza"
54,"Best enchiladas in town, when I want great Mexican food, this is the only place to go"
55,They do a great job cleaning your vehicle. It is the best car wash in Alaska.
56,"Has most normal mall stuff, parking it cheap."
57,Excellent service. Ignition was changed out and he was still able to get key for truck made. Awesome will definitely call again if needed.
58,"A lovely experience, as always! Great place for family’s and couples, and coming alone is just as fun. Staff are friendly and helpful, the building itself is clean and organized. Parking and camp grounds are nearby for RVs, which comes in handy when needed. Many exhibits are interactive which is great for children, and adults :) Over an amazing destination for anyone visiting Seward!"
59,"because NO star is not an option. They take forever, almost never get anything right and have attitudes when you tell them something was messed up. The new crew is a joke and need to be retrained ASAP! I gladly drive to Fairbanks for better service and HOT food. This location is trash."
60,"Great food. Mostly locals go there, it's like ""Cheers""."
61,"My passenger wanted coffee, I did not get any. She reported that her coffee was nice and hot, very tasty, and attractively served. We did not have to wait long in line. The server wore a mask. Competitive pricing."
62,"Hint'o'mint flavor has a great taste, fun place to chill and excellent service. Make their own cones!"
63,Went there while in the area on the recommendation of a friend. Food is overpriced and service sucked. We came in before a party of 6 who got bread and butter before us. We walked out. Will never return and will tell everyone I know not to go there.
64,"very nice, clean roo. and continental breakfast was very nice, fresh product, good coffee and well maintained buffet"
65,Friendly staff and they cut wood to your measurements
66,Great food & great service!!!!
67,This place is excellent!  My go to place in Kenai!  🤩
68,"I like it for a full shopping trip for this area, the pizza is the best for the price and bulk is often not much more than what it would be in Kenai/Soldotna."
69,"Staff were friendly, just appeared to lack motivation to be timely or serve consistent food. My wrap had little meat. My spouse could barely finish because there was so much meat in theirs."
70,"I've just taken my car in to be estimated for repair and everyone there has been very kind and a pleasure to chat with.
Will try to update once repairs are made"
71,"Nice haircut..friendly, down-to-earth earth staff. They make you feel right at home!
I learned some interesting history facts from talking with my barber while getting my hair cut. I had to pay in cash which I wasn't prepared for but it worked out."
