0,Primary Label,Secondary Label,Tertiary Label,Explanation
"Always good, consistent cut.",Quality,,,
Best Thai restaurant in Alaska. Owned and operated by family that I have known since the early 80s. Also right next door you can get Frozen yogurt.,Restaurant,,None,
"Friendly staff, lots of outdoor gear to shop",Outdoor,,,
Great place to eat,Taste,,,
Just as good as any other subway.,Quality,,,
"Good service, My complaint is that once a while they will mix your order with something else, but we are all human",Quality,Customer Service,,
"Save on gas. Multiple gas pumps.
Good wine selection w great sales n prices. Friendly staff n great store hours",Taste,Customer Service,,
"This was a very horrible car wash experience. I was disappointed I even went to a drive through wash. I bought the silver wash 19.00. The truck behind me also had a horrible wash. I witnessed one employee mocking behavior not prespraying around the truck instead pretend working in a mocking way. My mirror was almost pulled of drivers side and two long scratch gouges were left on paint area of mirror.
When I spoke to the other employee about my truck still being dirty the scratched and that I witnessed the mock spraying ( he was award as he was there also) no one spoke to me I had no option to say a word also they had two of us trucks so close together I couldn’t even blow dry truck.
This is a new car wash at the old duck pond location I wish they had rebuilt the do it your self  at wash stalls as I felt disrespected and ripped off.. yes I was offered to go through again ... no thank you I was afraid of more scratches.
Horrible car wash horrible!",Location,Cleanliness,,
A few good deals and convenient.,Quality,,,
"Incredibly amazing Rock Climbing gym that has it all! The owner, Eamon, is such an awesome guy! My kids absolutely love coming to climb here, they offer recreational AND competitive teams as well! A definite must go!",Taste,,None,
"The staff are professional, friendly, and  thorough. I tried several dental offices before finding Anchorage Dental Arts. I’ve been using them for many years now.",Customer Service,,None,
"We didn't try the sourdough pancakes, but the sites were nicely secluded, something we prefer.",Taste,,None,
"Good food. Good coffee. Friendly service!
In the heart of Palmer.",Quality,Customer Service,,
I go almost every year on labor day. It's so beautiful.,Unable to categorize,,None,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
"Awesome place to catch some sun, fire up the BBQ, swim or put around in your kayak or canoe. Be warned, it can get crowded on those beautiful days...",Location,,None,
Staff is always helpful and the store is well kept and clean!,Customer Service,Cleanliness,,
"Great coffee, tea and baked goods. Plenty of gluten free options.",Taste,,None,
Pretty good fare. Friendly staff and overall good menu. It is a good greasy spoon but something intangible was missing.,Quality,Customer Service,,
Good selection of products but not as good a selectiob as local grocers,Quality,Variety,,
Service Great food great best food all year,Taste,,,
Best place in Alaska for recreational activities,Restaurant,,,
Love their food,Taste,,,
Good service and people,Quality,,,
Good quick service.,Quality,,,
Girl right they could have smarter counter  people sometimes they have the parts and don't know how to find it,Experience,,None,
"They were fast, friendly, and efficient. If I had been smart enough to take my SUV straight to them when issues started I would have saved myself thousands of dollars and weeks of my time. Lesson hard learned, they have a customer for life.",Customer Service,Convenience,,
Had 3 alignments and they have done a great job each time,Taste,Experience,,
"Amazing food, best curry!! Nice customer service and my personal favorite place to eat. :)",Restaurant,Customer Service,,
"Good little saloon, love the entry doors, was very crowded when I was there, but 3 cruise ships were pulled into the harbor though.",Taste,,None,
"Excellent service for all day breakfasts. Quick, clean and good food.",Quality,Customer Service,,
Always great for the whole family and there is a place to sit and enjoy your icecream or food,Taste,Experience,,
Brand new. Easy. Fast airport.,Convenience,,,
Excellent customer service. Employees have excellent knowledge of all sporting goods,Quality,Customer Service,,
"Beautiful! Caught a 60lb halibut on my first try. Homer, Alaska is a great place to visit.",Taste,,None,
Was good food great service.,Taste,,,
Excellent,Quality,,,
Would have liked hiking more but very cold and windy. Trails snow covered still.,Outdoor,,None,
"Great burgers, my favorite is the Burnin Love",Taste,,,
AWESOME!!! Love the food and people. If you do have a issue let people know they a quick and good to fix what ever you need. A+ In so many ways.,Taste,,None,
"Great place for lunch, dinner, or a drink with friends
Excellent food, great service, outside dinning when weather is good. Also music on weekends during the summer.",Taste,Customer Service,,
Was quick and easy and the employee was very helpful and kind.,Customer Service,Convenience,,
A regular home depot,Experience,,,
Boat broke and we saw 3 of the 23 glaciers. They dropped us off about 1/2 mile from our car. Not a fan.,Experience,,None,
Thank’s Peter for the fat and plus bicycle. It is a new experience in the winter. I did not know that bike in winter it is perfect! The bike is saved in excellent conditions!,Quality,Experience,,
Newly remodeled,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Great coffee. Nice atmosphere. Seating can be difficult to find at times.,Taste,Ambiance,,
